fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,,
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.842259834,0.709401629
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.351247424,1.8258696
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,7.02163133,0.000467914
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.919095235,0.844736051
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.536100016,0.215203195
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.217918042,0.611652189
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.141032321,3.455760833
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.023766127,0.000564829
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.72877467,0.53111252
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.141032321,3.455760833
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.113431442,0.786003809
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.134410859,3.480422843
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,4.722855616,0.07680901
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.515080204,0.235147208
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.248962719,0.061982436
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.954941175,0.002030298
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.146409911,0.021435862
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.28910918,0.083584118
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.667566482,0.110512044
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.014028535,0.0001968
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.148476614,0.022045305
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.185266467,0.034323664
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.900805876,0.009839474
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.351831782,1.827449167
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.643257296,2.700294541
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.702036977,0.492855917
7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.095883924,0.009193727
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.879409656,0.773361342
7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.879409656,0.773361342
6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.64779431,0.124048848
6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.642301163,0.127948458
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.710880637,0.083590006
6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.713703697,0.081965573
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.75209931,0.061454752
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.982776015,1.034744636
6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.608378495,2.586881384
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.586067023,0.343474555
7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.710880637,0.083590006
6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.982205434,0.964727514
7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.549344433,0.301779306
6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.384519046,0.378816805
6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.421597524,0.334549425
6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.36314329,0.131873049
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.524203709,0.226382111
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.283702627,0.08048718
7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.144542842,0.020892633
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.966083438,0.001150333
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.696805498,0.091926906
7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.046747133,0.002185294
6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.415906241,0.34116552
6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.966083438,0.001150333
7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.510560607,0.260672134
6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.696805498,0.091926906
7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.913723794,0.007443584
6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.359333339,0.129120449
6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,7.079309367,0.006289976
6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.985222998,0.970664355
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.283765945,2.945459331
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.838806625,0.703596553
6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.641199842,0.128737553
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.649745359,0.422169032
6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.929881173,0.864678995
8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.377273283,0.387788564
6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.283765945,2.945459331
7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.838806625,0.703596553
7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.947526843,0.002753432
7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.500150842,0.24984918
7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.83920199,0.70425998
6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.048541525,0.00235628
6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.319827362,0.102289542
7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.276105817,0.076234422
7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.787683846,0.620445842
7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.910503699,0.008009588
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.432108477,0.186717736
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.405486381,0.353446443
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.433114976,0.32135863
6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.21966352,0.048252062
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.432108477,0.186717736
7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.405486381,0.353446443
7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.433114976,0.32135863
6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.6480969,0.420029591
6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.861616682,0.019149943
6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.944120061,0.003122568
7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.585174974,0.172079802
7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.901381851,0.009725539
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.740728449,0.067221737
8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.134903636,0.748391719
9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.789038866,3.200660063
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.740728449,0.067221737
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.882215008,0.778303321
7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.346681611,1.813551362
6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,6.090437549,1.189054048
7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.815360976,0.664813521
7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,150.3660964,0.075711946,-1.863177099,0.022090197,0.081482799,-0.247276584,0.003732765,-0.000285747,-150.2841705,0.686343707,0.631476458,0.193475709,5.882215008,0.778303321
